permalink,api_path,web_path,api_url,name,stock_exchange,stock_symbol,primary_role,short_description,profile_image_url,domain,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
ella-jade-interiors,organizations/ella-jade-interiors,organization/ella-jade-interiors,https://api.crunchbase.com/v3.1/organizations/ella-jade-interiors,Ella Jade Interiors,,,company,Ella Jade Interiors is the extension of British Bathroom Centre and together they provide unrivalled interior design and installation.,http://public.crunchbase.com/t_api_images/v1422680803/osakmnhawdzqbknnravs.png,ellajadeinteriors.com,http://www.ellajadeinteriors.com,https://www.facebook.com/pages/Ella-Jade-Interiors/640788692681932,https://twitter.com/EllaJadeInt,,London,England,United Kingdom,1422680874,1598876984
east-creative,organizations/east-creative,organization/east-creative,https://api.crunchbase.com/v3.1/organizations/east-creative,East creative,,,company,"East creative is a web design, web development, content management, and SEO company.",http://public.crunchbase.com/t_api_images/wzvmltwuqkclsdc4wmuq,co.jp/,https://www.east.co.jp/,,,,Tokyo,Tokyo,Japan,1598876974,1598876974
winix-a21e,organizations/winix-a21e,organization/winix-a21e,https://api.crunchbase.com/v3.1/organizations/winix-a21e,Winix,,,company,"Winix is an internet shop that offers a wide range of air purifiers, filters and humidifiers for clean water and air.",http://public.crunchbase.com/t_api_images/cq9fgrgvel6vawtnvk5c,winixamerica.com/,https://www.winixamerica.com/,https://www.facebook.com/WinixAmerica/,https://twitter.com/WinixAmerica,https://www.linkedin.com/company/winix-america/,Vernon Hills,Illinois,United States,1598531142,1598876965
ec-center,organizations/ec-center,organization/ec-center,https://api.crunchbase.com/v3.1/organizations/ec-center,EC Center,,,company,"EC Center offers accounting, insurance, and cash management services.",http://public.crunchbase.com/t_api_images/zbuuyeqm1ae0yn258zlc,co.jp/,https://www.ecg.co.jp/,https://www.facebook.com/enomotokaikei/,,,Sumida,Tokyo,Japan,1598876946,1598876946
fineartseen,organizations/fineartseen,organization/fineartseen,https://api.crunchbase.com/v3.1/organizations/fineartseen,FineArtSeen,,,company,A global online art gallery showcasing original artwork from emerging and established artists.,http://public.crunchbase.com/t_api_images/v1479992923/ws83f0dx8cyj8ibolm3e.jpg,wordpress.com/,https://fineartseen.wordpress.com/,https://www.facebook.com/obaidstudio,https://www.twitter.com/obaidstudio,,London,England,United Kingdom,1479993106,1598876946
fashionphile,organizations/fashionphile,organization/fashionphile,https://api.crunchbase.com/v3.1/organizations/fashionphile,Fashionphile,,,company,"Fashionphile is a buyer and seller of ultra-luxury pre-owned handbags, watches, fine jewelry, and accessories.",http://public.crunchbase.com/t_api_images/v1496520191/tg1ytjdeknit6sq34ls1.jpg,fashionphile.com,http://www.fashionphile.com,http://www.facebook.com/fashionphile,http://twitter.com/fashionphile,https://www.linkedin.com/company/fashionphile,San Francisco,California,United States,1254180157,1598876910
synergy-tech,organizations/synergy-tech,organization/synergy-tech,https://api.crunchbase.com/v3.1/organizations/synergy-tech,Synergy Tec,,,company,"Synergy Tec manufactures and sells special LED lighting such as drone lighting, illumination and LED for plant cultivation.",http://public.crunchbase.com/t_api_images/pjpzr85vwvjtqnx1d2vg,co.jp/,https://www.synergytec.co.jp/,https://www.facebook.com/Synergytec/,,,Anan,Tokushima,Japan,1598342251,1598876890
a-bits,organizations/a-bits,organization/a-bits,https://api.crunchbase.com/v3.1/organizations/a-bits,A-BITS,,,company,"A-BITS provides software for public corporations, local governments, and various private companies.",http://public.crunchbase.com/t_api_images/lfojgepio2qnm6x5i7bt,co.jp/,http://www.a-bits.co.jp/,,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A8%E3%83%BC%E3%83%93%E3%83%83%E3%83%84/,Aomori,Aomori,Japan,1598876847,1598876847
aviar-3f64,organizations/aviar-3f64,organization/aviar-3f64,https://api.crunchbase.com/v3.1/organizations/aviar-3f64,AVIAR,,,company,AVIAR is a software and hardware services provider.,http://public.crunchbase.com/t_api_images/uyi1xuivkzz45phodw1v,co.jp/,http://www.aviar.co.jp/,,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A8%E3%83%93%E3%82%A2,Osaka,Osaka,Japan,1598876841,1598876841
evon,organizations/evon,organization/evon,https://api.crunchbase.com/v3.1/organizations/evon,EVON,,,company,EVON provides market research and marketing consulting services.,http://public.crunchbase.com/t_api_images/k9cniiudbflitiktgvxy,co.jp/,http://evon.co.jp/,,,,Setagaya,Tokyo,Japan,1598876835,1598876835
ebe-48d5,organizations/ebe-48d5,organization/ebe-48d5,https://api.crunchbase.com/v3.1/organizations/ebe-48d5,EBE,,,company,EBE is an IT and software development company that develops software for the automobile industry.,http://public.crunchbase.com/t_api_images/yqckn86auorkiehb0kvg,co.jp/,http://www.e-b-e.co.jp/,,,,Tokyo,Tokyo,Japan,1598876829,1598876829
ecol-system,organizations/ecol-system,organization/ecol-system,https://api.crunchbase.com/v3.1/organizations/ecol-system,Ecol System,,,company,"Ecol System is a provider of app development, network construction and consulting services.",http://public.crunchbase.com/t_api_images/bziqs2iooqwh1xva7igk,co.jp/,https://www.ecolsys.co.jp/,https://www.facebook.com/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E3%82%A8%E3%82%B3%E3%83%AB%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0-284839091587185/,,,Mita,Tokyo,Japan,1598876810,1598876810
alley-maass-rogers-lindsay,organizations/alley-maass-rogers-lindsay,organization/alley-maass-rogers-lindsay,https://api.crunchbase.com/v3.1/organizations/alley-maass-rogers-lindsay,"Alley, Maass, Rogers & Lindsay",,,company,"Alley, Maass, Rogers & Lindsay, P.A. is the largest law firm in the Town of Palm Beach.",http://public.crunchbase.com/t_api_images/mpuxi7kvzznkskh8o4ck,amrl.com/,http://amrl.com/,,,,Palm Beach,Florida,United States,1510805084,1598876710
interdata-systems,organizations/interdata-systems,organization/interdata-systems,https://api.crunchbase.com/v3.1/organizations/interdata-systems,InterData Systems,,,company,InterData Systems Inc. is a Canadian company established  to provide computer software services.,,interdatasystems.com/,http://interdatasystems.com/,,,,Toronto,Ontario,Canada,1526018885,1598876654
odyssey-systems,organizations/odyssey-systems,organization/odyssey-systems,https://api.crunchbase.com/v3.1/organizations/odyssey-systems,Odyssey Systems,,,company,"Odyssey Systems is a consultancy that offers acquisition, project management, medical research, technical support and training.",http://public.crunchbase.com/t_api_images/df3xzripgllrot43tyl3,odysseyconsult.com/,https://www.odysseyconsult.com/,https://www.facebook.com/OdysseySystemsConsulting/,https://twitter.com/odysseysystems?lang=en,https://www.linkedin.com/company/odysseyconsult/,Wakefield,Massachusetts,United States,1598529378,1598876637
nexxus-studios,organizations/nexxus-studios,organization/nexxus-studios,https://api.crunchbase.com/v3.1/organizations/nexxus-studios,Nexxus Studios,,,company,Nexxus Studios is an arts and entertainment company based in India.,http://public.crunchbase.com/t_api_images/x8mc7nponyr2rjs95m8w,nexxusstudios.com/,http://www.nexxusstudios.com/,https://www.facebook.com/nexxusstudios,https://twitter.com/nexxusstudiosin,https://www.linkedin.com/company/nexxusstudios,Cooch Behar,West Bengal,India,1598876637,1598876637
redirect-com,organizations/redirect-com,organization/redirect-com,https://api.crunchbase.com/v3.1/organizations/redirect-com,Redirect.com,,,company,Redirect.com is a service where you can either purchase or sell your traffic.,http://public.crunchbase.com/t_api_images/v1482755219/nx4hcegsz84xdrzf793u.png,redirect.com/,http://www.redirect.com/,https://www.facebook.com/redirectcom,https://twitter.com/RedirectCom,https://www.linkedin.com/company/redirect.com,Westminster,Colorado,United States,1482755222,1598876595
madigan-pratt-associates-inc,organizations/madigan-pratt-associates-inc,organization/madigan-pratt-associates-inc,https://api.crunchbase.com/v3.1/organizations/madigan-pratt-associates-inc,MPA Digital,,,company,"MP Digital offers a range of services in advertising, marketing, website design and digital marketing to the hospitality and travel sector.",http://public.crunchbase.com/t_api_images/tmolaifzm62gvu6sy6rj,madiganpratt.com,http://www.madiganpratt.com,https://www.facebook.com/MPA.Digital/,https://twitter.com/mpa_digital,https://www.linkedin.com/company/mpadigital/,Williamsburg,Virginia,United States,1598854463,1598876595
hybrid-vigor-institute,organizations/hybrid-vigor-institute,organization/hybrid-vigor-institute,https://api.crunchbase.com/v3.1/organizations/hybrid-vigor-institute,Hybrid Vigor institute,,,company,Hybrid Vigor institute is a nonprofit that is involved with interdisciplinary research and similar areas.,,hybridvigor.org,http://hybridvigor.org,,,,Los Angeles,California,United States,1368964499,1598876579
asd-management,organizations/asd-management,organization/asd-management,https://api.crunchbase.com/v3.1/organizations/asd-management,ASD Management,,,company,"One of the nation’s oldest and largest privately held ASC management firms, ",http://public.crunchbase.com/t_api_images/wjhaxs0f0i7o7eqpd0ul,asdmanagement.com/,http://asdmanagement.com/,https://www.facebook.com/ASD-Management-558222044232820/,,,Incline Village,Nevada,United States,1517820123,1598876577
founder--nc-group,organizations/founder--nc-group,organization/founder--nc-group,https://api.crunchbase.com/v3.1/organizations/founder--nc-group,Naraiuran Controls,,,company,Naraiuran Controls provides factory for automation sector and IT Business needs.,http://public.crunchbase.com/t_api_images/hn8rmgfe2gckqeefhclc,naraiuran.com/,http://www.naraiuran.com/,https://www.facebook.com/naraiuran,https://www.twitter.com/naraiuran,https://www.linkedin.com/company/944514,,,,1425896230,1598876521
every-e-business,organizations/every-e-business,organization/every-e-business,https://api.crunchbase.com/v3.1/organizations/every-e-business,Every e-Business,,,company,"Every e-Business is providing ICT staffing, Java application and software development services.",http://public.crunchbase.com/t_api_images/ayrouamuqq5wtcmdjdp0,eeb.co.jp,https://www.eeb.co.jp,,,,Nomi,Ishikawa,Japan,1598876516,1598876516
cannablis---co,organizations/cannablis---co,organization/cannablis---co,https://api.crunchbase.com/v3.1/organizations/cannablis---co,Cannablis & Co,,,company,Cannablis & Co are committed to presenting you with only the best plants and products available.,http://public.crunchbase.com/t_api_images/v1426745665/ba9m8twn8kdaikudibgd.png,cannablissandco.com,http://cannablissandco.com,https://www.facebook.com/126325584111621,https://www.twitter.com/pdxcannabliss,,Portland,Oregon,United States,1426745708,1598876489
edelta,organizations/edelta,organization/edelta,https://api.crunchbase.com/v3.1/organizations/edelta,EDELTA,,,company,"EDELTA is a website development, network securing, and cloud computing company.",http://public.crunchbase.com/t_api_images/cyeuogbmop5ri7zoeod3,co.jp/,https://www.edelta.co.jp/,https://www.facebook.com/edelta.co.jp/,,,Tokyo,Tokyo,Japan,1598876480,1598876480
vertitech,organizations/vertitech,organization/vertitech,https://api.crunchbase.com/v3.1/organizations/vertitech,Vertitech,,,company,Leading provider in educational management systems and a software development company specializing in vertical business applications.,http://public.crunchbase.com/t_api_images/fx7udgggu7u0ecyhcrbj,vertitech.gr/en/,https://www.vertitech.gr/en/,,,https://www.linkedin.com/company/vertitech/,Kavála,Kavala,Greece,1531128532,1598876469
oes,organizations/oes,organization/oes,https://api.crunchbase.com/v3.1/organizations/oes,OES,,,company,"OES is a Designer, manufacturer and marketer of proprietary control systems",http://public.crunchbase.com/t_api_images/u8thm5eyxorbagt3rrry,oes-inc.com/,http://www.oes-inc.com/,,,https://www.linkedin.com/company/oes-inc-/,London,England,United Kingdom,1552285636,1598876454
able-study,organizations/able-study,organization/able-study,https://api.crunchbase.com/v3.1/organizations/able-study,Able Study,,,company,Able Study provides counseling services in the field of overseas education and internship.,http://public.crunchbase.com/t_api_images/b9rip6ld9s4dhw3iuzdz,ablestudy.com/,http://www.ablestudy.com/,https://www.facebook.com/AbleStudyJapan/,https://twitter.com/ablestudy,,Tokyo,Tokyo,Japan,1598876446,1598876446
ordera,organizations/ordera,organization/ordera,https://api.crunchbase.com/v3.1/organizations/ordera,Ordera,,,company,Ordera is a mobile-based platform that focuses on contactless drive-through and on-the-go picks up options.,http://public.crunchbase.com/t_api_images/ldikp9agypkjxecradlp,ordera.co/,http://www.ordera.co/,https://www.facebook.com/ordera.official/,,https://www.linkedin.com/company/orderaofficial/,Wilmington,Delaware,United States,1530731628,1598876432
edison-system,organizations/edison-system,organization/edison-system,https://api.crunchbase.com/v3.1/organizations/edison-system,Edison System,,,company,"Edison System is a web design, system application development, and computer services provider.",http://public.crunchbase.com/t_api_images/hlw81f7vltq0cy9lum1b,co.jp/,https://www.ed-sys.co.jp/,https://www.facebook.com/edisonsystem/,,,Fukui,Fukui,Japan,1598876378,1598876429
eighting,organizations/eighting,organization/eighting,https://api.crunchbase.com/v3.1/organizations/eighting,EIGHTING,,,company,"EIGHTING offers planning, development and operation of game content for home game consoles and smart devices.",http://public.crunchbase.com/t_api_images/o28wmgepqtbycg2c1xe6,co.jp/,https://www.8ing.co.jp/,https://www.facebook.com/8ing.saiyo/,https://www.twitter.com/8ing_saiyo,,Minami-shinagawa,Tokyo,Japan,1598876427,1598876427
educe-567b,organizations/educe-567b,organization/educe-567b,https://api.crunchbase.com/v3.1/organizations/educe-567b,Educe,,,company,Educe provides host system design and support services.,http://public.crunchbase.com/t_api_images/q8mcszxcvcvxwhvozaut,e-educe.com/,https://e-educe.com/,,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A8%E3%83%87%E3%83%A5%E3%83%BC%E3%82%B9,Toshima,Tokyo,Japan,1598876425,1598876425
ectomy-system,organizations/ectomy-system,organization/ectomy-system,https://api.crunchbase.com/v3.1/organizations/ectomy-system,Ectomy System,,,company,Ectomy System provides a system and web development solutions.,http://public.crunchbase.com/t_api_images/awgwpe8xf3ulkloxdqgq,co.jp/,https://www.ectomy.co.jp/,https://www.facebook.com/ectomy.co.jp/,https://www.twitter.com/ectomysystem,,Nagoya,Aichi,Japan,1598876417,1598876417
peter-and-associates,organizations/peter-and-associates,organization/peter-and-associates,https://api.crunchbase.com/v3.1/organizations/peter-and-associates,Peter and Associates,,,company,"Peter and Associates is a company that specializes in providing GPS surveying, civil, soil, geotechnical and structural engineering.",http://public.crunchbase.com/t_api_images/khntbcmfy6sxvrzszbqi,peterassoc.com/,http://www.peterassoc.com/,,,https://www.linkedin.com/company/peter-and-associates-engineers-geologists-surveyors-inc-/,San Clemente,California,United States,1598527527,1598876408
f-saccess,organizations/f-saccess,organization/f-saccess,https://api.crunchbase.com/v3.1/organizations/f-saccess,F'sAccess,,,company,F'sAccess is an independent software development company.,http://public.crunchbase.com/t_api_images/hsxv9zttxiyfifkydkp0,fs-access.com/,http://fs-access.com/,,https://twitter.com/fs_access,,Gifu-shi,Gifu,Japan,1598876399,1598876399
metavoyant,organizations/metavoyant,organization/metavoyant,https://api.crunchbase.com/v3.1/organizations/metavoyant,Metavoyant,,,company,"Harness the power of sensors and open data to anticipate and derive insights to create new markets, and embolden planetary stewardship.",http://public.crunchbase.com/t_api_images/v1502346173/cc2vix2ryx1pzvjgygyf.png,metavoyant.com,https://www.metavoyant.com,,https://www.twitter.com/metavoyant,,,,,1502346279,1598876371
toyro-inc-,organizations/toyro-inc-,organization/toyro-inc-,https://api.crunchbase.com/v3.1/organizations/toyro-inc-,TOYRO,,,company,Toyro is a company that offers an online insurance platform for customers.,http://public.crunchbase.com/t_api_images/v1425970244/i7afn47bgs0km6bwb3pm.png,toyro.net,http://toyro.net,https://www.facebook.com/akio.kaga.aaa,https://www.twitter.com/kazutech,https://www.linkedin.com/company/toyro/,Tokyo,Tokyo,Japan,1424853970,1598876355
ceylon-graphite,organizations/ceylon-graphite,organization/ceylon-graphite,https://api.crunchbase.com/v3.1/organizations/ceylon-graphite,Ceylon Graphite,cve,CYL,company,Ceylon Graphite Corp is a public company.,http://public.crunchbase.com/t_api_images/suwbt5d9l91kyofvxspd,ceylongraphite.com/,http://www.ceylongraphite.com/,https://www.facebook.com/ceylongraphite/,https://twitter.com/ceylongraphite,https://www.linkedin.com/company/ceylon-graphite-corp/,Vancouver,British Columbia,Canada,1520335868,1598876296
mcs-group,organizations/mcs-group,organization/mcs-group,https://api.crunchbase.com/v3.1/organizations/mcs-group,MCS Group,,,company,MCS Group is a firm of ethical recruitment specialists.,http://public.crunchbase.com/t_api_images/v1493197852/fd6xnukzjtqx3wt9qoa9.png,mcsgroup.jobs,http://www.mcsgroup.jobs,,https://twitter.com/MCSGroupBelfast,https://www.linkedin.com/company/mcs-group/,Belfast,Belfast,United Kingdom,1493198736,1598876293
hr-vision,organizations/hr-vision,organization/hr-vision,https://api.crunchbase.com/v3.1/organizations/hr-vision,HR Vision,,,company,HR Vision is a human resource consulting agency.,http://public.crunchbase.com/t_api_images/tnetfj19rottlzyrjxjl,hrvision.co.jp,https://hrvision.co.jp,,,,Tokyo,Tokyo,Japan,1598876292,1598876292
the-whitaker-group,organizations/the-whitaker-group,organization/the-whitaker-group,https://api.crunchbase.com/v3.1/organizations/the-whitaker-group,The Whitaker Group,,,company,"The Whitaker Group is the premier consultancy, transaction advisory and project development firm.",http://public.crunchbase.com/t_api_images/llklzdujypeyk2rlz8wf,thewhitakergroup.us,http://thewhitakergroup.us,https://www.facebook.com/the-whitaker-group-1598302670399081,https://www.twitter.com/whitakergroup,https://www.linkedin.com/company/the-whitaker-group,,,,1390272776,1598876287
mst-3d2b,organizations/mst-3d2b,organization/mst-3d2b,https://api.crunchbase.com/v3.1/organizations/mst-3d2b,MST,,,company,MST is a management consultancy provides strategic corporate management and marketing services.,http://public.crunchbase.com/t_api_images/85b780dfd8ec6e253d96,mstag.ch/,http://www.mstag.ch/,https://www.facebook.com/MST-AG-107739404267275/,,,Thalwil,Zurich,Switzerland,1577083123,1598876281
superior-document-solutions,organizations/superior-document-solutions,organization/superior-document-solutions,https://api.crunchbase.com/v3.1/organizations/superior-document-solutions,Superior Document Solutions,,,company,"Superior Document Solutions stays abreast of technological trends in offering its services in IT, document & printing management.",http://public.crunchbase.com/t_api_images/nc7miba6n6srbz6tf9dg,superiordocumentsolutions.com/,http://www.superiordocumentsolutions.com/,https://www.facebook.com/SuperiorDocSolu,,https://www.linkedin.com/company/superior-document-solutions/,Duluth,Georgia,United States,1598440431,1598876276
horizon-machine-4cca,organizations/horizon-machine-4cca,organization/horizon-machine-4cca,https://api.crunchbase.com/v3.1/organizations/horizon-machine-4cca,Horizon Machine,,,company,Horizon Machine renders services in babbitt bearings and prototypes.,http://public.crunchbase.com/t_api_images/nm0s3hikpnfvcevjygzm,horizonmachine.com,http://www.horizonmachine.com,https://www.facebook.com/horizonmachine/,,https://www.linkedin.com/company/horizon-machine-inc/about/,Tempe,Arizona,United States,1598448445,1598876272
fb-planning,organizations/fb-planning,organization/fb-planning,https://api.crunchbase.com/v3.1/organizations/fb-planning,FB Planning,,,company,FB Planning engages in general investigations and non-life insurance investigations.,http://public.crunchbase.com/t_api_images/zjxg7zyfbgqnybwrjaww,fbkikaku.com/,https://www.fbkikaku.com/,https://www.facebook.com/tantei.tyousa/,,,Sendai,Miyagi,Japan,1598876270,1598876270
connectnet-broadband-wireless-pty-limited,organizations/connectnet-broadband-wireless-pty-limited,organization/connectnet-broadband-wireless-pty-limited,https://api.crunchbase.com/v3.1/organizations/connectnet-broadband-wireless-pty-limited,Connectnet Broadband Wireless (Pty) Limited,,,company,Connectnet specialises in providing payment communications services (specifically point-of-sale / credit card transactions).,http://public.crunchbase.com/t_api_images/v1502349180/qsn0rb7povtoyskbqy9f.png,co.za/,http://www.connectnet.co.za/,,,,Centurion,NA - South Africa,South Africa,1502349222,1598876264
flango-inc,organizations/flango-inc,organization/flango-inc,https://api.crunchbase.com/v3.1/organizations/flango-inc,Flango inc,,,company,A company that focus on acquiring technologies company in Nigeria,,,,,,,,,,1592031206,1598876246
fdc-1650,organizations/fdc-1650,organization/fdc-1650,https://api.crunchbase.com/v3.1/organizations/fdc-1650,FDC,,,company,"FDC is an information technology and software development company that develops games, construction and personnel management software.",http://public.crunchbase.com/t_api_images/heq4edbvwimr7b7umxrg,co.jp/,https://www.fdc-inc.co.jp/,https://www.facebook.com/fdc.information/,,https://www.linkedin.com/company/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%83%95%E3%83%BB%E3%83%87%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%B7%E3%83%BC/,Tokyo,Tokyo,Japan,1598876243,1598876243
kis-group,organizations/kis-group,organization/kis-group,https://api.crunchbase.com/v3.1/organizations/kis-group,KIS Group,,,company,"KIS Group is a members-only website that offers access to expert-driven videos about fashion, culinary arts, life skills, and more.",http://public.crunchbase.com/t_api_images/v1397183261/43a3418e494889356d441e9c0aaf1f6c.jpg,kisgroup.com,http://www.kisgroup.com,https://www.facebook.com/kisgroup,https://www.twitter.com/jeremyhodkinkis,https://www.linkedin.com/company/kis-group-inc-/,Bangalore,Karnataka,India,1370505309,1598876206
hubble-e65f,organizations/hubble-e65f,organization/hubble-e65f,https://api.crunchbase.com/v3.1/organizations/hubble-e65f,Hubble,,,company,Hubble provides automated monitoring of data metrics for data warehousing and alerts in case of data quality issues.,http://public.crunchbase.com/t_api_images/m34kqacmhql2qt5lrlr5,gethubble.io/,https://www.gethubble.io/,,,https://www.linkedin.com/company/hubbletechnology/,San Francisco,California,United States,1598528161,1598876202
efficient-link,organizations/efficient-link,organization/efficient-link,https://api.crunchbase.com/v3.1/organizations/efficient-link,EFFICIENT LINK,,,company,EFFICIENT LINK provides software and hardware support for personal computers.,,co.jp/,http://www.efficientlink.co.jp/,,,,Tokyo,Tokyo,Japan,1598876172,1598876172
stoq-tecnologia,organizations/stoq-tecnologia,organization/stoq-tecnologia,https://api.crunchbase.com/v3.1/organizations/stoq-tecnologia,Stoq Tecnologia,,,company,Stoq Tecnologia develops point-of-sale systems in the SaaS (Software as a Service) model for small physical retailers.,http://public.crunchbase.com/t_api_images/rewer6ourkdid4iwmtzg,com.br/,https://www.stoq.com.br/,,,https://ca.linkedin.com/company/stoq-tecnologia-ltda,São Carlos,Rondonia,Brazil,1598876156,1598876156
nextstep-e7b2,organizations/nextstep-e7b2,organization/nextstep-e7b2,https://api.crunchbase.com/v3.1/organizations/nextstep-e7b2,NextStep,,,company,NextStep is an information technology company that provides training and job placement for workers via mobile application platform.,http://public.crunchbase.com/t_api_images/ph5ktbp6b3skidi0obpm,nextstep.careers/,http://nextstep.careers/,https://www.facebook.com/nextstephealthcarecareers/,https://twitter.com/nextsteptweets,https://www.linkedin.com/company/nextstephealthcarecareers/,Seattle,Washington,United States,1539921394,1598876145
quick-delivery-office-supply,organizations/quick-delivery-office-supply,organization/quick-delivery-office-supply,https://api.crunchbase.com/v3.1/organizations/quick-delivery-office-supply,Quick Delivery Office Supply,,,company,"Quick Delivery Office Supply is an internet store that supplies a wide range of office supplies, stationery and essentials to its customers.",,britlink.com/p1665/quickdelivery,http://v501.britlink.com/p1665/quickdelivery,,,,Kennesaw,Georgia,United States,1598525644,1598876134
efourtion,organizations/efourtion,organization/efourtion,https://api.crunchbase.com/v3.1/organizations/efourtion,Efourtion,,,company,"Efourtion provides IT planning, development, construction, operation and design services.",http://public.crunchbase.com/t_api_images/mtznwup4pighbbg32ixw,efourtion.jp/,https://efourtion.jp/,https://www.facebook.com/efourtion/,,https://www.linkedin.com/company/-efourtion-inc-/,Akasaka,Tokyo,Japan,1598876128,1598876128
edelweiss-service,organizations/edelweiss-service,organization/edelweiss-service,https://api.crunchbase.com/v3.1/organizations/edelweiss-service,Edelweiss Wealth Management,,,company,"Edelweiss is a wealth management company that offers solutions for financial services including mutual funds, currency, and commodity.",http://public.crunchbase.com/t_api_images/9de6086e3f0a9c46764f,edelweiss.in,http://www.edelweiss.in,https://www.facebook.com/edelweisswealthmanagement/,https://twitter.com/Edelweissonline,https://www.linkedin.com/company/edelweiss-wealth-management/,Mumbai,Maharashtra,India,1585720752,1598876127
pds,organizations/pds,organization/pds,https://api.crunchbase.com/v3.1/organizations/pds,pds,,,company,pds provides craftsman software and apps for the construction industry.,http://public.crunchbase.com/t_api_images/yuqz4y2mylfevsqdklkz,pds.de,http://www.pds.de,https://www.facebook.com/pdsGmbH,https://twitter.com/pds_GmbH,https://www.linkedin.com/company/pds-gmbh---eine-software-voraus,Rotenburg,Niedersachsen,Germany,1576293574,1598876115
factory-automation-technologies,organizations/factory-automation-technologies,organization/factory-automation-technologies,https://api.crunchbase.com/v3.1/organizations/factory-automation-technologies,FACTORY AUTOMATION TECHNOLOGIES,,,company,FACTORY AUTOMATION TECHNOLOGIES specializes in the field of web application system development and network construction.,http://public.crunchbase.com/t_api_images/vsbnje3f8gi3ebwhijjc,co.jp/,http://www.i-fatec.co.jp/,,,,Kofu,Yamanashi,Japan,1598876110,1598876110
winreal-investment,organizations/winreal-investment,organization/winreal-investment,https://api.crunchbase.com/v3.1/organizations/winreal-investment,Winreal Investment,,,investor,Winreal Investment is an investment Firm.,,,,,,,Shanghai,Shanghai,China,1567682073,1598876088
hubblehq,organizations/hubblehq,organization/hubblehq,https://api.crunchbase.com/v3.1/organizations/hubblehq,HubbleHQ,,,company,Hubble is an online marketplace that makes renting office space easy.,http://public.crunchbase.com/t_api_images/v1506001897/lblj7cvdjedtsektrqdb.png,hubblehq.com,https://hubblehq.com,https://www.facebook.com/HubbleHQ/,https://twitter.com/Hubble,https://www.linkedin.com/company/spacious/,London,England,United Kingdom,1445467856,1598876083
planet-cabinets,organizations/planet-cabinets,organization/planet-cabinets,https://api.crunchbase.com/v3.1/organizations/planet-cabinets,Planet Cabinets,,,company,We are a leading Chicago-based provider of high-quality cabinets. The company is geared to give only the best for all your cabinet needs.,http://public.crunchbase.com/t_api_images/v1453440095/ceef5oyvcpxtaxz4ewvo.jpg,planetcabinets.com/,http://planetcabinets.com/,,https://www.twitter.com/planetcabinets,,Chicago,Illinois,United States,1453440129,1598876078
mabc,organizations/mabc,organization/mabc,https://api.crunchbase.com/v3.1/organizations/mabc,Mabc,,,company,"Mabc provides cloud, broadband, networking, unified communication, telecom, recovery and IT infrastructure services.",http://public.crunchbase.com/t_api_images/ojtth83pexrjmq4w0zk5,mabc.com,https://www.mabc.com,https://www.facebook.com/pg/MABCinc,https://twitter.com/mabcinc,https://www.linkedin.com/company/mid-atlantic-business-communications/,Portsmouth,Virginia,United States,1598623067,1598876071
greg-monforton-partners,organizations/greg-monforton-partners,organization/greg-monforton-partners,https://api.crunchbase.com/v3.1/organizations/greg-monforton-partners,Greg Monforton & Partners,,,company,"A personal injury law firm based in Windsor, Ontario.",http://public.crunchbase.com/t_api_images/v1489769953/wltloigeuewmjmtfk3l9.jpg,gregmonforton.com,http://www.gregmonforton.com,https://www.facebook.com/gregmonfortonpartners,https://www.twitter.com/gregmonforton,,Windsor,Ontario,Canada,1489770055,1598876055
travizory,organizations/travizory,organization/travizory,https://api.crunchbase.com/v3.1/organizations/travizory,Travizory,,,company,Travizory operates as a travel management startup.,http://public.crunchbase.com/t_api_images/ybw91yad4otlvk4e2uik,travizory.com/,https://www.travizory.com/,,,https://www.linkedin.com/company/travizory-border-security-ltd/,Neuchâtel,Neuchatel,Switzerland,1598876033,1598876033
egretcom,organizations/egretcom,organization/egretcom,https://api.crunchbase.com/v3.1/organizations/egretcom,Egretcom,,,company,"Egretcom is a developer of software modem, communication module, protocol, and communication equipment.",http://public.crunchbase.com/t_api_images/zkswwewum771sqhtr10t,egretcom.com/,https://www.egretcom.com/,,,,Machida,Tokyo,Japan,1598876026,1598876026
catmouse-apk,organizations/catmouse-apk,organization/catmouse-apk,https://api.crunchbase.com/v3.1/organizations/catmouse-apk,CatMouse Apk,,,company,The Best Online Streaming Application for all Movie Lovers,http://public.crunchbase.com/t_api_images/wyzf7maheafyiceppmpi,catmouseapks.com/,https://www.catmouseapks.com/,https://www.facebook.com/catmouseapk,https://twitter.com/CatmouseA,https://www.linkedin.com/in/cat-mouse-70372b1a1/,,,,1580930231,1598876013
